step,halted_vehicles
0,9
1,3
2,0
3,0
4,0
5,1
6,2
7,1
8,0
9,0
10,1
11,2
12,0
13,1
14,0
15,1
16,2
17,0
18,0
19,1
20,1
21,2
22,1
23,0
24,3
25,0
26,2
27,1
28,0
29,1
30,1
31,2
32,0
33,2
34,0
35,0
36,0
37,2
38,1
39,1
40,1
41,1
42,5
43,4
44,5
45,4
46,5
47,7
48,5
49,8
50,6
51,6
52,10
53,6
54,6
55,9
56,9
57,13
58,11
59,11
60,15
61,4
62,1
63,3
64,1
65,2
66,2
67,3
68,3
69,3
70,4
71,6
72,7
73,7
74,6
75,8
76,6
77,6
78,10
79,7
80,8
81,8
82,9
83,11
84,11
85,11
86,10
87,10
88,13
89,11
90,12
91,3
92,1
93,2
94,4
95,2
96,5
97,3
98,6
99,5
100,4
101,5
102,5
103,9
104,6
105,6
106,6
107,7
108,8
109,12
110,12
111,10
112,10
113,12
114,15
115,14
116,13
117,14
118,14
119,14
120,18
121,4
122,2
123,1
124,1
125,2
126,2
127,3
128,2
129,5
130,3
131,5
132,4
133,3
134,6
135,4
136,7
137,7
138,8
139,9
140,9
141,11
142,11
143,9
144,10
145,12
146,13
147,12
148,13
149,12
150,16
151,2
152,0
153,1
154,0
155,4
156,0
157,2
158,3
159,4
160,5
161,4
162,4
163,5
164,9
165,7
166,7
167,8
168,13
169,9
170,11
171,10
172,12
173,12
174,14
175,16
176,17
177,16
178,19
179,19
180,23
181,14
182,8
183,6
184,4
185,1
186,3
187,2
188,3
189,2
190,3
191,3
192,7
193,5
194,4
195,3
196,5
197,8
198,6
199,7
200,9
201,14
202,12
203,12
204,12
205,12
206,15
207,12
208,14
209,16
210,17
211,11
212,3
213,2
214,1
215,1
216,5
217,3
218,4
219,6
220,6
221,8
222,9
223,9
224,9
225,13
226,14
227,13
228,12
229,12
230,14
231,15
232,18
233,19
234,18
235,18
236,18
237,21
238,21
239,22
240,24
241,14
242,7
243,4
244,5
245,4
246,4
247,5
248,4
249,6
250,5
251,5
252,4
253,6
254,8
255,8
256,8
257,8
258,10
259,9
260,7
261,8
262,10
263,13
264,11
265,13
266,13
267,13
268,13
269,14
270,16
271,4
272,2
273,3
274,0
275,0
276,2
277,3
278,5
279,3
280,3
281,5
282,5
283,7
284,7
285,6
286,6
287,9
288,10
289,10
290,11
291,11
292,9
293,9
294,11
295,12
296,14
297,14
298,14
299,17
300,20
301,6
302,3
303,1
304,5
305,1
306,1
307,2
308,2
309,9
310,5
311,5
312,6
313,6
314,10
315,8
316,8
317,8
318,9
319,11
320,9
321,11
322,13
323,13
324,13
325,15
326,16
327,16
328,19
329,17
330,20
331,10
332,4
333,3
334,2
335,4
336,2
337,4
338,6
339,3
340,5
341,5
342,6
343,6
344,6
345,7
346,7
347,8
348,9
349,9
350,11
351,12
352,12
353,12
354,15
355,18
356,17
357,18
358,20
359,20
360,26
361,16
362,7
363,4
364,2
365,2
366,3
367,2
368,2
369,2
370,4
371,6
372,3
373,5
374,6
375,7
376,8
377,7
378,7
379,8
380,9
381,9
382,11
383,9
384,12
385,9
386,11
387,16
388,14
389,14
390,14
391,6
392,1
393,2
394,2
395,2
396,1
397,3
398,3
399,4
400,4
401,4
402,6
403,4
404,6
405,7
406,7
407,9
408,8
409,9
410,10
411,9
412,15
413,11
414,13
415,16
416,16
417,21
418,20
419,20
420,23
421,12
422,4
423,1
424,0
425,1
426,2
427,4
428,2
429,3
430,3
431,6
432,7
433,6
434,8
435,10
436,8
437,9
438,11
439,10
440,10
441,10
442,10
443,13
444,11
445,13
446,13
447,12
448,14
449,14
450,16
451,5
452,2
453,3
454,2
455,1
456,5
457,5
458,5
459,5
460,3
461,4
462,5
463,8
464,6
465,6
466,7
467,7
468,6
469,10
470,12
471,12
472,12
473,15
474,16
475,14
476,16
477,15
478,17
479,19
480,20
481,11
482,3
483,3
484,3
485,0
486,0
487,2
488,1
489,5
490,2
491,4
492,4
493,3
494,5
495,3
496,5
497,3
498,5
499,7
500,5
501,7
502,8
503,9
504,10
505,11
506,10
507,11
508,11
509,11
510,14
511,3
512,1
513,0
514,0
515,4
516,0
517,0
518,1
519,3
520,4
521,3
522,4
523,4
524,5
525,8
526,5
