step,halted_vehicles
0,9
1,3
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,2
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,2
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,2
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,3
55,2
56,2
57,2
58,2
59,3
60,3
61,3
62,4
63,4
64,4
65,4
66,6
67,4
68,5
69,4
70,4
71,4
72,8
73,4
74,4
75,4
76,4
77,4
78,4
79,6
80,6
81,6
82,7
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,1
91,2
92,1
93,2
94,2
95,1
96,1
97,2
98,2
99,3
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,4
109,2
110,3
111,3
112,3
113,4
114,3
115,5
116,5
117,6
118,6
119,6
120,6
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,1
135,2
136,2
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,7
145,3
146,3
147,3
148,4
149,3
150,3
151,3
152,4
153,4
154,4
155,4
156,4
157,5
158,6
159,6
160,6
161,5
162,7
163,5
164,6
165,6
166,0
167,0
168,0
169,1
170,1
171,1
172,2
173,2
174,2
175,2
176,2
177,2
178,3
179,3
180,8
181,5
182,3
183,3
184,3
185,3
186,3
187,4
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,6
197,8
198,7
199,6
200,7
201,6
202,6
203,7
204,6
205,6
206,7
207,9
208,9
209,9
210,9
211,2
212,0
213,1
214,0
215,0
216,4
217,0
218,0
219,0
220,1
221,1
222,2
223,2
224,2
225,4
226,3
227,4
228,3
229,3
230,4
231,3
232,3
233,3
234,6
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,5
244,5
245,5
246,6
247,6
248,7
249,5
250,5
251,5
252,6
253,5
254,6
255,5
256,0
257,0
258,1
259,1
260,1
261,1
262,2
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,4
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,2
280,1
281,1
282,1
283,2
284,2
285,2
286,2
287,2
288,5
289,3
290,2
291,2
292,3
293,4
294,4
295,5
296,4
297,4
298,4
299,4
300,4
301,0
302,0
303,1
304,2
305,2
306,4
307,2
308,2
309,2
310,2
311,2
312,3
313,3
314,3
315,4
316,3
317,3
318,3
319,3
320,3
321,3
322,4
323,4
324,6
325,4
326,4
327,4
328,6
329,5
330,6
331,5
332,5
333,6
334,6
335,6
336,6
337,7
338,9
339,7
340,7
341,7
342,9
343,7
344,8
345,7
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,2
359,2
360,9
361,4
362,2
363,2
364,2
365,2
366,2
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,4
378,5
379,3
380,3
381,4
382,4
383,5
384,4
385,4
386,5
387,5
388,5
389,5
390,5
391,0
392,0
393,0
394,1
395,0
396,2
397,1
398,0
399,0
400,1
401,1
402,1
403,3
404,3
405,4
406,3
407,3
408,3
409,3
410,4
411,3
412,3
413,3
414,5
415,4
416,4
417,4
418,4
419,4
420,4
421,6
422,6
423,6
424,6
425,6
426,6
427,7
428,7
429,6
430,7
431,7
432,9
433,9
434,9
435,10
436,4
437,3
438,1
439,0
440,1
441,1
442,2
443,1
444,1
445,1
446,1
447,1
448,2
449,2
450,5
451,1
452,1
453,0
454,0
455,0
456,0
457,1
458,1
459,3
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,3
469,1
470,2
471,2
472,2
473,3
474,3
475,5
476,4
477,4
478,4
479,4
480,4
481,0
482,0
483,0
484,0
485,0
486,2
487,0
488,0
489,0
490,0
491,1
492,0
493,2
494,3
495,4
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,6
505,3
506,5
507,4
508,5
509,4
510,4
511,5
512,5
513,6
514,6
515,6
516,6
517,6
518,7
519,6
520,6
521,6
522,7
523,7
524,9
525,7
526,2
