step,halted_vehicles
0,9
1,3
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,2
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,2
37,0
38,0
39,0
40,0
41,1
42,1
43,2
44,3
45,4
46,4
47,4
48,4
49,4
50,5
51,4
52,4
53,4
54,7
55,5
56,6
57,6
58,6
59,6
60,6
61,0
62,0
63,0
64,0
65,1
66,3
67,1
68,2
69,1
70,1
71,1
72,4
73,2
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,2
82,3
83,2
84,2
85,2
86,2
87,2
88,3
89,3
90,7
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,2
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,3
109,1
110,2
111,2
112,2
113,4
114,4
115,5
116,5
117,5
118,5
119,5
120,5
121,0
122,0
123,0
124,0
125,0
126,2
127,0
128,0
129,0
130,0
131,2
132,1
133,1
134,3
135,4
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,5
145,5
146,3
147,3
148,4
149,3
150,4
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,2
163,2
164,2
165,1
166,1
167,2
168,1
169,1
170,2
171,2
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,4
180,10
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,2
192,2
193,2
194,2
195,2
196,2
197,3
198,5
199,2
200,2
201,2
202,2
203,2
204,3
205,4
206,4
207,4
208,4
209,4
210,4
211,0
212,0
213,1
214,0
215,0
216,3
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,2
225,4
226,4
227,3
228,3
229,3
230,4
231,3
232,3
233,3
234,6
235,4
236,4
237,4
238,4
239,4
240,6
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,2
249,1
250,1
251,1
252,2
253,2
254,1
255,1
256,1
257,1
258,2
259,2
260,3
261,3
262,4
263,4
264,3
265,3
266,3
267,3
268,4
269,4
270,8
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,2
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,5
289,2
290,3
291,2
292,2
293,3
294,2
295,3
296,3
297,3
298,3
299,3
300,3
301,0
302,0
303,0
304,0
305,0
306,2
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,3
315,4
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,5
325,3
326,3
327,3
328,5
329,3
330,3
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,3
343,1
344,1
345,2
346,1
347,1
348,1
349,2
350,2
351,2
352,2
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,7
361,5
362,4
363,4
364,4
365,3
366,3
367,4
368,4
369,4
370,4
371,5
372,6
373,6
374,6
375,6
376,0
377,1
378,2
379,0
380,0
381,0
382,1
383,1
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,0
392,0
393,1
394,0
395,0
396,3
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,1
405,2
406,2
407,3
408,3
409,3
410,4
411,3
412,3
413,3
414,5
415,3
416,3
417,4
418,4
419,5
420,5
421,0
422,0
423,0
424,0
425,0
426,0
427,2
428,2
429,1
430,1
431,1
432,3
433,1
434,2
435,2
436,1
437,1
438,2
439,2
440,2
441,2
442,3
443,2
444,2
445,2
446,2
447,2
448,3
449,3
450,7
451,0
452,1
453,0
454,0
455,0
456,1
457,1
458,1
459,3
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,3
469,1
470,2
471,2
472,2
473,3
474,2
475,4
476,4
477,4
478,4
479,4
480,4
481,0
482,0
483,0
484,0
485,0
486,2
487,0
488,0
489,0
490,0
491,2
492,1
493,3
494,3
495,4
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,7
505,4
506,4
507,4
508,5
509,4
510,4
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,2
519,1
520,1
521,1
522,3
523,1
524,1
525,1
526,3
