step,halted_vehicles
0,9
1,3
2,0
3,0
4,0
5,0
6,3
7,0
8,1
9,0
10,0
11,1
12,2
13,0
14,0
15,1
16,0
17,2
18,4
19,0
20,0
21,0
22,1
23,2
24,2
25,0
26,0
27,0
28,1
29,0
30,3
31,0
32,0
33,2
34,0
35,0
36,4
37,0
38,1
39,1
40,0
41,1
42,3
43,2
44,4
45,7
46,5
47,4
48,7
49,6
50,7
51,7
52,6
53,7
54,10
55,9
56,9
57,10
58,10
59,11
60,15
61,6
62,2
63,2
64,1
65,1
66,5
67,5
68,5
69,3
70,3
71,4
72,5
73,9
74,6
75,7
76,6
77,7
78,8
79,6
80,8
81,8
82,11
83,10
84,13
85,10
86,10
87,10
88,11
89,11
90,16
91,4
92,0
93,2
94,1
95,1
96,3
97,1
98,4
99,5
100,4
101,4
102,6
103,5
104,5
105,7
106,5
107,6
108,9
109,7
110,8
111,9
112,10
113,12
114,11
115,12
116,11
117,13
118,12
119,13
120,17
121,5
122,2
123,0
124,0
125,1
126,3
127,2
128,3
129,3
130,2
131,3
132,4
133,4
134,5
135,7
136,5
137,7
138,5
139,9
140,7
141,9
142,10
143,10
144,13
145,9
146,9
147,10
148,12
149,11
150,12
151,2
152,2
153,1
154,0
155,0
156,2
157,0
158,2
159,3
160,3
161,3
162,8
163,6
164,6
165,9
166,7
167,5
168,8
169,10
170,10
171,10
172,11
173,12
174,15
175,13
176,13
177,15
178,15
179,16
180,24
181,11
182,8
183,2
184,2
185,1
186,4
187,2
188,6
189,3
190,3
191,4
192,4
193,5
194,6
195,6
196,6
197,7
198,10
199,8
200,10
201,10
202,11
203,11
204,14
205,15
206,13
207,15
208,17
209,15
210,18
211,10
212,4
213,4
214,1
215,0
216,2
217,2
218,2
219,3
220,3
221,3
222,6
223,4
224,6
225,9
226,6
227,10
228,11
229,10
230,11
231,12
232,13
233,15
234,15
235,13
236,15
237,16
238,17
239,19
240,24
241,17
242,8
243,4
244,1
245,1
246,4
247,2
248,3
249,3
250,4
251,4
252,7
253,4
254,5
255,6
256,5
257,7
258,7
259,7
260,7
261,8
262,10
263,12
264,12
265,10
266,12
267,13
268,16
269,18
270,24
271,12
272,6
273,2
274,1
275,0
276,2
277,1
278,4
279,8
280,5
281,5
282,7
283,6
284,7
285,7
286,7
287,10
288,13
289,9
290,10
291,11
292,10
293,13
294,15
295,13
296,13
297,13
298,13
299,15
300,18
301,6
302,1
303,0
304,0
305,0
306,3
307,1
308,2
309,1
310,1
311,3
312,4
313,1
314,3
315,5
316,4
317,6
318,7
319,6
320,7
321,6
322,8
323,9
324,11
325,10
326,11
327,11
328,16
329,14
330,18
331,8
332,2
333,2
334,1
335,2
336,4
337,3
338,5
339,6
340,4
341,4
342,7
343,5
344,8
345,9
346,8
347,9
348,11
349,12
350,14
351,13
352,15
353,17
354,19
355,19
356,18
357,17
358,18
359,19
360,24
361,13
362,8
363,7
364,5
365,2
366,4
367,3
368,4
369,3
370,2
371,3
372,4
373,3
374,5
375,4
376,4
377,6
378,9
379,7
380,8
381,10
382,10
383,11
384,12
385,12
386,11
387,15
388,16
389,15
390,18
391,7
392,2
393,3
394,1
395,0
396,4
397,0
398,1
399,2
400,2
401,2
402,3
403,3
404,5
405,5
406,6
407,4
408,6
409,5
410,8
411,7
412,7
413,9
414,10
415,9
416,8
417,9
418,10
419,10
420,13
421,5
422,3
423,0
424,0
425,0
426,3
427,0
428,4
429,2
430,2
431,4
432,7
433,5
434,6
435,7
436,8
437,10
438,9
439,10
440,10
441,10
442,13
443,11
444,12
445,10
446,11
447,12
448,13
449,14
450,19
451,9
452,2
453,5
454,1
455,1
456,4
457,2
458,5
459,4
460,4
461,3
462,4
463,5
464,5
465,8
466,6
467,6
468,9
469,8
470,11
471,11
472,12
473,19
474,20
475,20
476,19
477,21
478,22
479,23
480,26
481,17
482,11
483,4
484,2
485,0
486,4
487,1
488,3
489,3
490,3
491,2
492,6
493,5
494,4
495,7
496,4
497,6
498,5
499,6
500,5
501,4
502,5
503,6
504,8
505,9
506,10
507,10
508,10
509,9
510,12
511,5
512,3
513,3
514,1
515,1
516,5
517,4
518,6
519,5
520,4
521,4
522,6
523,6
524,6
525,6
526,6
