step,halted_vehicles
0,9
1,3
2,0
3,0
4,0
5,0
6,3
7,0
8,1
9,0
10,0
11,1
12,2
13,0
14,0
15,1
16,0
17,2
18,4
19,0
20,0
21,0
22,1
23,2
24,2
25,0
26,0
27,0
28,1
29,0
30,3
31,0
32,0
33,2
34,0
35,0
36,4
37,0
38,2
39,2
40,1
41,2
42,3
43,2
44,3
45,3
46,1
47,0
48,3
49,1
50,3
51,3
52,2
53,3
54,6
55,4
56,5
57,7
58,6
59,7
60,10
61,2
62,1
63,1
64,1
65,3
66,7
67,3
68,5
69,4
70,4
71,4
72,7
73,7
74,7
75,7
76,6
77,6
78,10
79,7
80,8
81,9
82,10
83,12
84,10
85,11
86,9
87,9
88,10
89,10
90,16
91,3
92,2
93,4
94,1
95,1
96,2
97,2
98,4
99,5
100,4
101,4
102,6
103,6
104,7
105,7
106,6
107,7
108,10
109,8
110,12
111,9
112,10
113,14
114,13
115,12
116,14
117,13
118,14
119,14
120,19
121,8
122,4
123,1
124,0
125,1
126,4
127,3
128,2
129,2
130,2
131,3
132,5
133,3
134,4
135,9
136,6
137,9
138,7
139,6
140,6
141,8
142,9
143,9
144,10
145,10
146,11
147,11
148,14
149,12
150,15
151,5
152,0
153,1
154,0
155,0
156,2
157,1
158,2
159,3
160,2
161,4
162,7
163,4
164,5
165,7
166,6
167,6
168,7
169,9
170,7
171,9
172,8
173,12
174,13
175,14
176,13
177,13
178,13
179,14
180,19
181,9
182,3
183,1
184,1
185,0
186,2
187,2
188,3
189,2
190,2
191,3
192,4
193,4
194,5
195,6
196,5
197,6
198,10
199,7
200,7
201,8
202,9
203,10
204,10
205,11
206,10
207,11
208,12
209,12
210,14
211,6
212,2
213,2
214,2
215,1
216,3
217,3
218,2
219,5
220,4
221,3
222,5
223,4
224,6
225,12
226,10
227,8
228,10
229,9
230,11
231,13
232,13
233,15
234,20
235,21
236,21
237,21
238,21
239,22
240,26
241,18
242,11
243,5
244,0
245,1
246,5
247,2
248,4
249,6
250,4
251,4
252,7
253,5
254,5
255,5
256,5
257,7
258,7
259,7
260,7
261,8
262,12
263,10
264,10
265,10
266,11
267,11
268,13
269,12
270,14
271,7
272,2
273,2
274,1
275,0
276,1
277,1
278,2
279,5
280,3
281,4
282,5
283,3
284,5
285,7
286,6
287,8
288,8
289,10
290,11
291,11
292,10
293,16
294,15
295,17
296,16
297,16
298,16
299,17
300,20
301,10
302,5
303,2
304,0
305,0
306,4
307,0
308,2
309,1
310,1
311,3
312,2
313,4
314,5
315,8
316,5
317,9
318,7
319,7
320,6
321,7
322,9
323,9
324,13
325,10
326,9
327,10
328,13
329,11
330,14
331,5
332,0
333,2
334,1
335,1
336,3
337,4
338,5
339,4
340,6
341,7
342,8
343,5
344,9
345,10
346,9
347,12
348,15
349,12
350,15
351,15
352,16
353,17
354,19
355,19
356,19
357,20
358,22
359,22
360,29
361,19
362,9
363,5
364,0
365,2
366,2
367,4
368,3
369,4
370,5
371,4
372,6
373,5
374,4
375,5
376,4
377,7
378,9
379,6
380,7
381,8
382,9
383,9
384,10
385,9
386,11
387,11
388,14
389,14
390,16
391,7
392,2
393,1
394,2
395,0
396,3
397,1
398,1
399,1
400,2
401,2
402,4
403,4
404,5
405,9
406,6
407,5
408,7
409,7
410,10
411,8
412,9
413,12
414,13
415,11
416,11
417,14
418,13
419,11
420,17
421,7
422,3
423,0
424,0
425,0
426,4
427,2
428,4
429,2
430,2
431,3
432,4
433,3
434,3
435,6
436,7
437,7
438,8
439,6
440,7
441,8
442,10
443,7
444,11
445,9
446,9
447,11
448,12
449,12
450,18
451,10
452,4
453,2
454,1
455,1
456,1
457,1
458,2
459,4
460,3
461,4
462,7
463,4
464,4
465,7
466,6
467,6
468,9
469,7
470,9
471,9
472,11
473,13
474,13
475,17
476,17
477,16
478,19
479,20
480,24
481,14
482,7
483,5
484,3
485,0
486,5
487,1
488,3
489,4
490,3
491,4
492,5
493,5
494,4
495,6
496,6
497,5
498,6
499,6
500,5
501,6
502,7
503,9
504,10
505,10
506,8
507,9
508,11
509,11
510,13
511,3
512,2
513,1
514,0
515,0
516,4
517,2
518,4
519,6
520,4
521,4
522,6
523,6
524,7
525,7
526,6
